,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
475937,2wnhst8yHA4gKuojAgZedh,Pensándote,68,216414,1,"['Rauw Alejandro', 'Tainy']","['1mcTU81TzQhprhouKaTkpq', '0GM7qgcRCORpGnfcN2tCiB']",2020-11-13,0.79,0.655,1,-3.3760000000000003,1,0.0762,0.46399999999999997,0.00165,0.0837,0.56,170.023,4
475950,1ymDJCICVjtTUlUaxu4gSp,Mi Cuarto - Remix,53,161765,0,"['DJ Alan Gomez', 'Maty Deejay']","['6oMRQ5H3A2XA5I3RG3leni', '2q6Gq9jlgpNEWgOzRZELQP']",2020-08-25,0.649,0.583,1,-6.7989999999999995,1,0.18,0.0945,2.53e-06,0.0943,0.65,204.077,4
476505,1ejZidOAndGSUD2JphjoMB,Flip Flop And Fly,23,176000,0,['Bill Haley & His Comets'],['3MFp4cYuYtTZe3d3xkLLbr'],1973-01-01,0.629,0.516,0,-8.737,1,0.0484,0.69,0.0,0.183,0.853,166.97099999999998,4
476956,10rWqJtPxZbp1aQ977igop,Don't Blame It on That Girl,29,228600,0,['Matt Bianco'],['1WQky50vkzSvSCUl0ejWqb'],1990-01-01,0.555,0.894,1,-11.171,1,0.0715,0.18600000000000003,0.00015,0.0828,0.9279999999999999,201.611,4
476994,3el0N7ziLP3bEBWy3oKls3,Fusion Mental,21,251167,0,['Maestro Mexicano'],['3afjXwQOZQpdzUsnz5DUQB'],1991-04-14,0.563,0.578,7,-9.658,1,0.374,0.00345,2.5e-05,0.386,0.5870000000000001,192.044,4
477028,1Tmrs0Oue94ShUfuVDk0Tp,Seleccion De Merequetengues,23,288467,0,['La Sonora De Tommy Rey'],['0gOdu2BvlfycjQlrtk0CQv'],1992,0.632,0.684,7,-9.926,1,0.0598,0.157,4.64e-06,0.0735,0.948,178.26,3
477102,1AmBJ5WiG1E90EqGshbhnx,El Porro,24,212871,0,['Pachuco y La Cubanacán'],['1SvxElxxHBvKujNu4UsfNx'],1994-09-12,0.51,0.632,3,-9.58,1,0.0452,0.11599999999999999,0.0446,0.106,0.975,204.31900000000002,4
477310,0oteS36zB0mLw6iXJO8rN3,Arià Ariò - Spanish Version,34,214040,0,['Paolo Meneguzzi'],['5ZzAoUEpmaTHo3wymXyvnk'],1997,0.556,0.674,0,-8.471,1,0.0422,0.435,0.0,0.0485,0.8340000000000001,166.196,4
477331,0lOWWBlZaUhCnEnQ9oD4Rd,Corazón Enamorado,31,188547,0,['Grupo Red'],['7zGKMkRT4IMLgAJmFhf5cz'],1997-10-16,0.503,0.718,6,-8.302999999999999,1,0.0924,0.132,0.0,0.319,0.8959999999999999,196.078,4
477417,5EJBlfKoVNM8IkiCOM4EQM,Morena Esperanza,32,268640,0,['Illapu'],['6gWVXK2R7WYXTqxULGAyfx'],1998,0.588,0.534,5,-9.554,1,0.0448,0.184,0.0,0.105,0.7979999999999999,175.457,4
477502,0pGf0LfIj9xWwihr0WpuXf,Hacer por hacer,36,232400,0,['Miguel Bosé'],['7mWCSSOYqm4E9mB7V4ot6S'],1999,0.601,0.7090000000000001,9,-8.564,1,0.174,0.408,2.73e-06,0.0959,0.6609999999999999,169.924,4
477509,3clBQZevnH5HklSfJFQklf,I Just Wanna Be Loved - Magic Man Remix,35,273827,0,"['Culture Club', 'Dave Maurice']","['6kz53iCdBSqhQCZ21CoLcc', '1BiNlzv4oHzy8yMigcRrr7']",1999-12-14,0.7070000000000001,0.669,6,-5.593,1,0.187,0.0131,0.0,0.265,0.909,163.47899999999998,4
477529,7ui0ZqBbdIF8Z82B0scmlf,Alquimia,25,317760,0,['Makiza'],['3XaUjViDzB8N9bPqPeoWk5'],1999,0.6629999999999999,0.6890000000000001,9,-7.236000000000001,1,0.285,0.371,0.0,0.508,0.737,162.665,4
477545,4ZTPz0d96nhWMmzXLt6Qot,Mr. Mandarino,26,210293,0,['Matia Bazar'],['449mAbddAC2PAgNM3TLyc5'],1999-01-01,0.607,0.6679999999999999,4,-10.016,1,0.0803,0.405,0.000113,0.28,0.9670000000000001,161.488,4
477582,1P3hdETY9d59okqXUtpRiw,Quinceañera,33,195227,0,['Grupo Karicia'],['0LOfrH82HIHcCXk3eFF7og'],2000-06-20,0.5379999999999999,0.605,9,-12.197000000000001,1,0.134,0.518,0.000495,0.0787,0.96,199.639,4
477672,7jRmX2dMmdMawhbDnGx1nJ,Tú Punto Débil,31,229303,0,['Grupo Hechizo'],['2j7cp8QCujOktjxUXuNou3'],2002-01-01,0.568,0.6559999999999999,10,-10.265,1,0.0693,0.0128,0.0,0.08800000000000001,0.888,200.113,4
477700,4HkqkBADUOQFAGc82CNxNk,La Niña Llora,38,219427,0,['Amar Azul'],['04TVfWdJWbfH0FOT2zA1Tg'],2003,0.569,0.8079999999999999,1,-5.53,1,0.0692,0.278,5.65e-05,0.147,0.728,181.476,4
477757,2crdEEBy8ja6mBGjPxfpxZ,Fluye,42,354000,0,['Gondwana'],['4nSgEvZncnC5oNPVrtwnLd'],2004-01-01,0.603,0.813,7,-5.885,1,0.157,0.287,0.0064,0.128,0.851,173.39,4
477758,6WZAQPGp56pA50nTO6dbxq,Acaba De Nacer,34,255093,0,['GIT'],['21o0KNjooi1XjygW6V70NM'],2004-01-01,0.5870000000000001,0.9570000000000001,0,-6.864,1,0.0958,0.19399999999999998,0.000599,0.14800000000000002,0.688,176.335,4
477814,4s1uRHjXLe5es3SMdeqnNl,Revolution Rock,42,295733,0,['Los Fabulosos Cadillacs'],['2FS22haX3FYbyOsUAkuYqZ'],2005-07-19,0.53,0.973,0,-1.317,1,0.10300000000000001,0.11800000000000001,9.53e-05,0.0646,0.8170000000000001,172.49599999999998,4
478056,1iUGQbeBmiaEq5rXWCg3EY,Maldito Corazón,39,77067,0,['Rafaga'],['0CBKUzrf6yGdTgxAQbUUHS'],2008-11-05,0.542,0.9079999999999999,10,-3.623,1,0.0716,0.10400000000000001,0.0,0.228,0.79,202.425,4
478082,78DakQmH1J5YR1xfOdJsD4,Me Apuñalé,33,255560,0,['Sonora Barón'],['3IrgBju6MoDqMqxSUB3zCk'],2008-01-16,0.529,0.7020000000000001,6,-4.79,1,0.20600000000000002,0.306,0.0,0.183,0.618,198.708,4
478128,5B51dxjARyEZqt5ueQigne,Pechos Calientes,37,194026,0,['La Noche'],['74RYbbIHke18VFvcsP2iD9'],2009-06-19,0.575,0.635,9,-7.657,1,0.0459,0.501,5.79e-05,0.131,0.91,171.99099999999999,4
478148,3vswynJ2ho1epro34b0vuc,El Boxeador,36,134987,0,['Repiola'],['14rsSkmuSkij7q3SNsZSHQ'],2009-01-01,0.593,0.708,4,-3.426,1,0.272,0.0831,0.000152,0.0985,0.626,176.239,4
478158,0GkxLYbUTC0y5iEy2p45Az,Gente Que No,34,183347,0,['Repiola'],['14rsSkmuSkij7q3SNsZSHQ'],2009-01-01,0.742,0.633,9,-2.112,1,0.293,0.185,0.0,0.0495,0.903,176.02700000000002,4
478159,1VrNxoU2dLavlq2gQ39Ln3,Esto Aquí No Para,36,281480,0,"['J Alvarez', 'Nova y Jory', 'Ñengo Flow']","['6XFITTl7cFTdopDY3lUdlY', '6ZK8loFAzWKSFe3b7Lrq4V', '12vb80Km0Ew53ABfJOepVz']",2009-12-22,0.6940000000000001,0.764,2,-6.502999999999999,1,0.11699999999999999,0.147,0.0,0.298,0.784,169.949,4
478168,44JE2Ja3wv1jPBGJmbz0Wi,Juana María,49,196539,0,['Los Vasquez'],['3GlN5joOPb7aAQVJLSPpJx'],2010,0.6,0.8190000000000001,2,-5.319,1,0.04,0.275,0.0,0.0469,0.971,200.028,4
478180,1i4fB1iRLyTmOY9HroJVne,Los Que Toman Como Rey,45,170840,0,['Tomo Como Rey'],['7DGQ1BwG33jSlcQC6krZLD'],2010-01-01,0.5920000000000001,0.9229999999999999,9,-5.416,1,0.06,0.00197,0.0,0.0631,0.9620000000000001,165.877,4
478191,00CDIncoj2ip3afMD0DCQX,Amor Prohibido,42,48027,0,"['DJ Pinky', 'Garras de Amor']","['0SQDhZLHzJq716WdfRodG7', '6kcdJiENvD273QC9rFoP5a']",2010-03-01,0.539,0.7709999999999999,7,-8.807,1,0.0689,0.284,0.0,0.313,0.956,205.146,4
478235,0K1cstDO2uAY5mqxePjsOX,Un día cualquiera,38,194613,0,['Movimiento Original'],['50u2mXgysmTttY0BizYWAo'],2010-08-30,0.6509999999999999,0.7859999999999999,9,-7.563,1,0.327,0.14400000000000002,6.56e-06,0.373,0.83,168.949,4
