,id,name,popularity,artists,release_date,danceability,energy,loudness,mode,speechiness,acousticness,valence,tempo
265730,3pfir4Fxgsn6t8OTafLaHE,"Symphony No. 35, K. 385 ""Haffner"" (D Major/D-dur/re majeur/re maggiore): II - (Andante)",1.0,"['Wolfgang Amadeus Mozart', 'Bruno Walter']",1954,0.17800000000000002,0.0479,-22.688000000000002,1.0,0.0464,0.9279999999999999,0.0518,74.054
265741,72dun0DGCas55jYGztOgUQ,"Symphony No. 36, K. 425 ""Linz"" (C Major/C-dur/ut majeur/do maggiore): II - Andante",1.0,"['Wolfgang Amadeus Mozart', 'Bruno Walter']",1954,0.11699999999999999,0.0856,-21.086,1.0,0.0431,0.737,0.0586,74.025
265755,16JAG9OKZxWbkOUhBM90Ms,"Otello / Act 4: Ave Maria, piena di grazia",1.0,"['Giuseppe Verdi', 'Renata Tebaldi', ""Orchestra dell'Accademia Nazionale di Santa Cecilia"", 'Alberto Erede']",1954-12-08,0.18600000000000003,0.0538,-24.224,1.0,0.0443,0.9790000000000001,0.0372,77.596
265764,1l36y99spG9uld2vdRoD8s,"La forza del destino: Act I: Buona notte, mia figlia (Marchese, Leonora)",0.0,"['Giuseppe Verdi', 'Maria Callas', 'Richard Tucker', 'Carlo Tagliabue', 'Elena Nicolai', 'Nicola Rossi-Lemeni', 'Renato Capecchi', 'Plinio Clabassi', 'Rina Cavallari', 'Gino Del Signore', 'Dario Caselli', 'Giulio Scarinci', 'Ottorino Bagalli', 'Milan La Scala Chorus', 'Orchestra Del Teatro Alla Scala, Milano', 'Tullio Serafin']",1954,0.23199999999999998,0.0458,-24.739,0.0,0.0555,0.983,0.0973,83.105
265765,1lur1A5rxnzULkgJRfqMH0,Otello / Act 4: Niun mi tema,1.0,"['Giuseppe Verdi', 'Mario del Monaco', 'Piero de Palma', 'Fernando Corena', 'Pier Luigi Latinucci', ""Orchestra dell'Accademia Nazionale di Santa Cecilia"", 'Alberto Erede']",1954-12-08,0.203,0.0859,-18.105999999999998,0.0,0.0421,0.973,0.0394,82.81299999999999
265770,1zbNZfUhOsXt3tNJXdKf2F,"Also sprach Zarathustra, Op. 30: VI. Of Science and Learning",1.0,"['Richard Strauss', 'Fritz Reiner']",1954,0.156,0.0657,-22.986,1.0,0.0351,0.893,0.0361,71.87899999999999
265776,2S62VGoK1YpTmE0qZq6vLS,"Also sprach Zarathustra, Op. 30: VIII. Song of the Night Wanderer",0.0,"['Richard Strauss', 'Fritz Reiner']",1954,0.12,0.0479,-24.585,1.0,0.0358,0.8590000000000001,0.0397,77.718
265807,27N3BiEJe9SNvCrmf7oIFn,"Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH 55: I. Allegro non troppo e molto maestoso",0.0,"['Pyotr Ilyich Tchaikovsky', 'Emil Gilels', 'Zubin Mehta', 'New York Philharmonic']",1955,0.23199999999999998,0.11900000000000001,-19.185,1.0,0.0353,0.9470000000000001,0.0393,82.64399999999999
265842,3GdoebcxbQW2LI5SxrVPCU,"Piano Concerto No. 1 in E Minor, Op. 11: II. Romance - Larghetto",1.0,"['Frédéric Chopin', 'Eugene Ormandy', 'Philadelphia Orchestra']",1955,0.314,0.0469,-27.449,0.0,0.0381,0.986,0.0386,78.482
265854,5mu8Teoe749Cis3ysZ8nIJ,Stars,1.0,"['Mary Howe', 'The Vienna Orchestra', 'William Strickland']",1955-01-01,0.135,0.14400000000000002,-19.563,1.0,0.0368,0.927,0.0347,67.618
265882,0tLicwC4Jmn9VI4X1jbCvN,"Symphony No. 5 in C Minor, Op. 67: II. Andante con moto",4.0,"['Ludwig van Beethoven', 'Leonard Bernstein', 'New York Philharmonic']",1956,0.16699999999999998,0.0565,-19.095,1.0,0.0383,0.86,0.0397,76.012
265909,3VC0gHA74qQztWxou3m3ti,Chopin: Nocturne Bb Minor,5.0,['Ezra Rachlin'],1956,0.308,0.0072900000000000005,-32.973,1.0,0.0385,0.995,0.0504,73.622
266037,2aRZgpjROuIrgasK0Z8qFo,"Puccini: Turandot , Act 3: ""Tu, che di gei sei cinta"" (Calaf, Liù, Timur, Ping)",2.0,"['Giacomo Puccini', 'Eugenio Fernandi, Elisabeth Schwarzkopf, Nicola Zaccaria, Mario Borriello, Orchestra del Teatro alla Scala di Milano, Tullio Serafin', 'Coro Del Teatro Alla Scala Di Milano', 'Elisabeth Schwarzkopf', 'Eugenio Fernandi', 'Mario Borriello', 'Nicola Zaccaria', 'Orchestra Del Teatro Alla Scala, Milano', 'Tullio Serafin']",1958,0.171,0.132,-17.315,1.0,0.0415,0.982,0.0668,81.122
266141,54HnjTjhAB7K99FBO0evoc,Symphony No. 5 in C-Sharp Minor: I. Trauermarsch,11.0,"['Gustav Mahler', 'Leonard Bernstein', 'New York Philharmonic']",1960,0.201,0.111,-19.678,0.0,0.0379,0.9470000000000001,0.0859,79.817
266145,1mt9XmhZEfR6191JiQmBTd,"Symphony No. 5 in C-Sharp Minor: III. Scherzo. Kräftig, nicht zu schnell",7.0,"['Gustav Mahler', 'Leonard Bernstein', 'New York Philharmonic']",1960,0.193,0.151,-20.590999999999998,0.0,0.0469,0.956,0.0763,81.236
266172,6FRBPZK9GLUSUpswE74irl,"Scherzo No. 1 in B Minor, Op. 20",8.0,"['Frédéric Chopin', 'Arthur Rubinstein']",1960,0.3,0.107,-21.709,1.0,0.0414,0.9940000000000001,0.0895,74.615
266182,4sJ29K1ZDl7UwWFda19WAu,"Symphony No. 2 in C Minor ""Resurrection"": II. Andante moderato",10.0,"['Gustav Mahler', 'Leonard Bernstein', 'New York Philharmonic']",1960,0.18100000000000002,0.0883,-22.104,1.0,0.0408,0.887,0.11800000000000001,76.83800000000001
266202,6cazMjm7ynj4u6R6h0piCR,"Scherzo No. 3 in C-Sharp Minor, Op. 39",7.0,"['Frédéric Chopin', 'Arthur Rubinstein']",1960,0.278,0.13699999999999998,-20.132,1.0,0.0413,0.987,0.08800000000000001,63.376999999999995
266211,2MJuhkBGWQaVyZ7jlYOOEc,Symphony No. 7 in E Minor: II. Nachtmusik. Allegro moderato,5.0,"['Gustav Mahler', 'Leonard Bernstein', 'New York Philharmonic']",1960,0.165,0.0709,-23.046999999999997,1.0,0.036000000000000004,0.932,0.109,79.59899999999999
266224,6k3BhHASo8IVhmlImznMlD,"Symphony No. 104 in D Major, Hob.I:104 ""London"": 2. Andante",6.0,"['Franz Joseph Haydn', 'Wiener Philharmoniker', 'Herbert von Karajan']",1960-01-01,0.158,0.0315,-24.572,1.0,0.0429,0.909,0.052000000000000005,71.23100000000001
266229,1SLlsjdh9EVpewZ2O7gzef,"Beethoven: Cello Sonata No. 1 in F Major, Op. 5 No. 1: I. (a) Adagio sostenuto",0.0,"['Ludwig van Beethoven', 'János Starker']",1960,0.122,0.00932,-29.613000000000003,1.0,0.046,0.988,0.095,63.455
266321,2qP4RhVGx6DthdHntyFVuT,"6 Klavierstücke, Op. 118: No. 6 in E-Flat Minor, Intermezzo. Andante, largo e mesto",8.0,"['Johannes Brahms', 'Glenn Gould']",1961,0.313,0.0318,-21.328000000000003,0.0,0.063,0.992,0.0533,57.931999999999995
266351,0ku94Z6lts2kTsQoRWemnz,"Suite bergamasque, L. 75: III. Clair de lune",8.0,"['Claude Debussy', 'Philippe Entremont']",1961,0.324,0.0278,-26.574,1.0,0.043,0.991,0.0394,57.038000000000004
266422,1EIPbN36L0LjGsjLuANfOy,"Prelude in G-Sharp Minor, Op. 32, No. 12",9.0,"['Sergei Rachmaninoff', 'Vladimir Horowitz']",1962,0.28300000000000003,0.0286,-26.614,0.0,0.0398,0.992,0.0635,68.168
266443,55qbazcdmNVKITtTjB1yu6,"Symphony No. 3 in F Major, Op. 90: II. Andante",12.0,"['Johannes Brahms', 'Leonard Bernstein', 'New York Philharmonic']",1962,0.126,0.096,-18.057000000000002,1.0,0.0395,0.9470000000000001,0.038,79.09100000000001
266484,4zhqNuNTluaOsP0I6RS3L4,"Symphony No. 6 in F Major, Op. 68 - ""Pastoral"": 2. Szene am Bach. Andante molto mosso",19.0,"['Ludwig van Beethoven', 'Berliner Philharmoniker', 'Herbert von Karajan']",1963-01-01,0.16399999999999998,0.0732,-23.959,1.0,0.0401,0.909,0.094,78.148
266503,2g4lOmvTccgZXA4k37nkqB,"War Requiem, Op. 66 / Requiem aeternam: 1b. What Passing Bells for These who die as Cattle?",10.0,"['Benjamin Britten', 'Sir Peter Pears', 'Melos Ensemble', 'The Bach Choir', 'London Symphony Chorus', 'London Symphony Orchestra']",1963-05-01,0.198,0.0774,-25.245,1.0,0.0481,0.953,0.0382,82.369
266584,1Tuu7DziLmsTu6mLxaj0uX,"Symphony No. 5 in C-Sharp Minor: III. Scherzo. Kräftig, nicht zu schnell",6.0,"['Gustav Mahler', 'Leonard Bernstein', 'New York Philharmonic']",1964,0.183,0.159,-20.272000000000002,0.0,0.0515,0.958,0.0755,75.345
266589,0w3I7be4KcynNOkoe1RyP7,"La Bohème, Act I: O soave fanciulla (Rodolfo/Marcello/Mimì)",12.0,"['Giacomo Puccini', 'Nicolai Gedda', 'Thomas Schippers', ""Orchestra Del Teatro Dell'Opera Di Roma""]",1964,0.155,0.128,-19.119,1.0,0.040999999999999995,0.97,0.04,82.848
266593,6hdIGlKIHkRCi1d3xisONd,"Octet, Op. 20, in E-Flat: Andante",11.0,"['Felix Mendelssohn', 'Jascha Heifetz', 'Israel Baker', 'Arnold Belnick', 'Joseph Stepansky', 'William Primrose', 'Virginia Majewski', 'Gregor Piatigorsky', 'Gabor Rejto']",1964,0.23800000000000002,0.147,-19.974,0.0,0.0463,0.9259999999999999,0.0969,74.491
266598,1HiklEnZkchvGRJulB9dYh,"La Bohème, Act IV: C'è Mimì ... c' è Mimì (Musetta/Rodolfo/Schaunard/Mimì/Marcello)",2.0,"['Giacomo Puccini', 'Nicolai Gedda', 'Thomas Schippers']",1964,0.231,0.0853,-19.851,0.0,0.0506,0.9670000000000001,0.0398,74.492
266613,6Qd6GyYwiC5sRpDInsYMxC,"La Bohème, Act IV: Vecchia zimarra (Colline/Schaunard)",2.0,"['Giacomo Puccini', 'Mario Basiola', 'Thomas Schippers']",1964,0.24,0.0672,-25.151999999999997,1.0,0.0468,0.9840000000000001,0.0598,56.782
266682,16hIQMcq0fKU37PszoVHGH,"Polonaises, Op. 26: No. 1 in C-sharp Minor",14.0,"['Frédéric Chopin', 'Arthur Rubinstein']",1965,0.325,0.0448,-23.177,1.0,0.0351,0.992,0.11699999999999999,82.477
266729,3JSXEqNcevrfklqzPsqbsy,"Piano Concerto No. 4 in G Minor, Op. 40: II. Largo —",17.0,"['Sergei Rachmaninoff', 'Earl Wild', 'Royal Philharmonic Orchestra', 'Jascha Horenstein']",1966-05-01,0.20800000000000002,0.0375,-24.16,1.0,0.0347,0.98,0.0394,84.611
266750,5nVtJowCXd7Ayk0sEcduGS,"Piano Concerto No. 3 in D Minor, Op. 30: II. Intermezzo: Adagio —",20.0,"['Sergei Rachmaninoff', 'Earl Wild', 'Royal Philharmonic Orchestra', 'Jascha Horenstein']",1966-05-01,0.174,0.139,-20.351,1.0,0.0351,0.972,0.0392,79.525
266785,7yIIx42jeJrzEDWnq4K9fF,The Death Of Aki,16.0,['John Barry'],1967-01-01,0.14800000000000002,0.0889,-20.646,0.0,0.0342,0.892,0.0525,80.05
266807,59D5L25KKYe6QDgTnWYK0C,"Beethoven: Piano Sonata No. 23 in F Minor, Op. 57 ""Appassionata"": I. Allegro assai",21.0,"['Ludwig van Beethoven', 'Daniel Barenboim']",1967,0.23,0.154,-17.495,1.0,0.0435,0.977,0.0384,63.347
266858,720mt5wAbzUDrk5Cq9rvUc,"Symphony No. 2 in D Major, Op. 36: II. Larghetto",11.0,"['Ludwig van Beethoven', 'Leonard Bernstein', 'New York Philharmonic']",1968,0.21600000000000003,0.0319,-19.337,1.0,0.0366,0.945,0.11800000000000001,75.085
266872,7F8OKi3gRULYqpiHndCeb5,"Piano Concerto No. 1 in E Minor, Op. 11: I. Allegro maestoso",16.0,"['Frédéric Chopin', 'Martha Argerich', 'London Symphony Orchestra', 'Claudio Abbado']",1968-01-01,0.19699999999999998,0.131,-19.245,0.0,0.0366,0.9790000000000001,0.0703,58.876999999999995
266937,6BKcbGaoqA8BeaJX0F2hbz,"The Young Person's Guide to the Orchestra, Op.34",25.0,"['Benjamin Britten', 'London Symphony Orchestra']",1969,0.271,0.125,-19.684,1.0,0.0568,0.867,0.0951,83.488
266946,5DdVVa2EdgAVPivh5Ksuvk,Sonata For Violin And Piano In A: 1. Allegretto ben moderato,13.0,"['César Franck', 'Itzhak Perlman', 'Vladimir Ashkenazy']",1969-01-01,0.188,0.095,-19.489,1.0,0.0457,0.982,0.0384,81.98200000000001
266986,7IhC7oSZnyLuF5V8hbalme,What is a Youth,2.0,['Teddy Robin & The Playboys'],1969-01-01,0.293,0.0984,-19.925,0.0,0.0363,0.987,0.113,77.607
267019,6k8rfWb15Oz4CbJRcxG0OK,"Love Theme from ""Sunflower""",30.0,['Henry Mancini'],1970-05-30,0.2,0.106,-20.776,0.0,0.0306,0.951,0.0391,78.649
267021,4NpGtoh1C3JmvQ29GVqeod,Love In The Sand (Love Theme from Sunflower),14.0,['Henry Mancini'],1970-05-30,0.239,0.0686,-24.651999999999997,0.0,0.0339,0.963,0.0775,81.829
267055,0AUfcRqSyTGBBTdweIILEV,"Piano Concerto No.20 in D minor, K.466: 2. Romance",23.0,"['Wolfgang Amadeus Mozart', 'Sir Clifford Curzon', 'English Chamber Orchestra', 'Benjamin Britten']",1970-01-01,0.155,0.0348,-24.939,1.0,0.0364,0.985,0.0699,76.467
267148,1peUUcTg3CQakmAXh2I9KJ,Why Did I Choose You?,26.0,['Bill Evans'],1971-02-01,0.287,0.1,-18.041,0.0,0.0309,0.993,0.0571,75.146
267178,3ez4nhSoUYWxUKaYtMEx90,(They Long To Be) Close To You,29.0,['Burt Bacharach'],1971-01-01,0.27,0.129,-15.024000000000001,1.0,0.0322,0.951,0.111,59.738
267206,0lwBaOOv9HZiCFtUTaUcpV,I Remember Clifford - Live,16.0,['Stan Getz'],1971,0.271,0.0136,-29.351,1.0,0.0406,0.977,0.0854,79.55
267259,5yJgni66yWTuPOev5etDnz,"Piano Concerto No.3 in D minor, Op.30: 1. Allegro ma non tanto",19.0,"['Sergei Rachmaninoff', 'Vladimir Ashkenazy', 'London Symphony Orchestra', 'André Previn']",1972-01-01,0.213,0.0994,-22.148000000000003,0.0,0.0353,0.985,0.0389,75.55
267271,32sH35d1kytSUl6lZay8Kq,"Scherzo No. 2 in B-Flat Minor, Op. 31: Presto - Sostenuto",26.0,"['Frédéric Chopin', 'Arturo Benedetti Michelangeli']",1972-01-01,0.322,0.043,-21.511999999999997,1.0,0.0497,0.991,0.0708,59.875
267300,0MCLxJkIplWBkfTRf1kTyK,"Piano Concerto No.4 in G minor, Op.40: 1. Allegro vivace (Alla breve)",16.0,"['Sergei Rachmaninoff', 'Vladimir Ashkenazy', 'London Symphony Orchestra', 'André Previn']",1972-01-01,0.193,0.11,-18.238,1.0,0.0353,0.985,0.0384,66.62
267356,5qBIQMcjBaylm3UobFOyl0,"Turandot / Act 1: ""Signore, ascolta""",25.0,"['Giacomo Puccini', 'Montserrat Caballé', 'London Philharmonic Orchestra', 'Zubin Mehta']",1973-09-01,0.23399999999999999,0.0423,-23.736,1.0,0.0481,0.988,0.0435,79.225
267374,7mSmbLyn80gdOLSxXpaBOM,"Turandot / Act 1: ""Signore, ascolta""",28.0,"['Giacomo Puccini', 'Montserrat Caballé', 'London Philharmonic Orchestra', 'Zubin Mehta']",1973-01-01,0.162,0.0415,-23.678,1.0,0.0531,0.988,0.0471,74.161
267383,7pnp2WzJUuq2pm5oWQOpBm,As Time Goes By,31.0,['Harry Nilsson'],1973-06-01,0.22899999999999998,0.107,-16.483,1.0,0.0333,0.897,0.0642,60.44
267386,37sSRdVY8S6VyvU8YdKYR6,"La bohème / Act 1: ""Sì. Mi chiamano Mimì""",32.0,"['Giacomo Puccini', 'Mirella Freni', 'Berliner Philharmoniker', 'Herbert von Karajan']",1973-01-01,0.23,0.0755,-20.816999999999997,1.0,0.062,0.983,0.0357,83.499
267496,3dojpUxqqqaUry2FPd6iWq,Crystal Cathedral - (Bonus Version) (Remastered),20.0,['Steven Halpern'],1975-05-05,0.175,0.00302,-34.982,1.0,0.0511,0.988,0.0348,75.115
267630,159jijUDIZT7M8YyBLOzAR,"Piano Concerto No. 1 in F Major, K. 37: II. Andante",24.0,"['Wolfgang Amadeus Mozart', 'Murray Perahia', 'English Chamber Orchestra']",1976,0.243,0.036000000000000004,-27.116,1.0,0.0409,0.993,0.05,81.07600000000001
267646,0xYFj6t85dpyWTF91L4iDw,"Piano Concerto No. 4 in G Major, K. 41: II. Andante",23.0,"['Wolfgang Amadeus Mozart', 'Murray Perahia', 'English Chamber Orchestra']",1976,0.245,0.0407,-26.125999999999998,0.0,0.0369,0.991,0.0775,80.009
267671,1sYh8YoJv9oEfEw7Px3r2r,"Piano Concerto No. 23 in A Major, K. 488: II. Adagio",19.0,"['Wolfgang Amadeus Mozart', 'Murray Perahia', 'English Chamber Orchestra']",1976,0.179,0.0121,-29.143,0.0,0.0392,0.992,0.0381,83.348
267748,5DqobGKm29qWFJxFCzVrFO,A Child Is Born,30.0,"['Tony Bennett', 'Bill Evans']",1977-01-01,0.305,0.0548,-17.999000000000002,1.0,0.0449,0.9790000000000001,0.105,72.75
267778,6KovqKdzI78MmGRJZt1DvA,"Années de pèlerinage: Première année: Suisse, S. 160: 2. Au lac de Wallenstadt",23.0,"['Franz Liszt', 'Lazar Berman']",1977-01-01,0.303,0.0034799999999999996,-37.596,1.0,0.0364,0.9940000000000001,0.0396,71.03699999999999
267802,06Pr14olGbojM1Qbo4gl1q,"Les chemins de l'amour, FP 106",29.0,"['Francis Poulenc', 'Jessye Norman', 'Dalton Baldwin']",1977-01-01,0.254,0.0595,-22.818,1.0,0.0615,0.9940000000000001,0.11199999999999999,77.134
267812,5VPNUS4wcQfEGd0wIINYRX,Tsuru no Sugomori,26.0,['Various Artists'],1977,0.256,0.0116,-31.025,0.0,0.05,0.98,0.0379,72.875
267876,2ka0wpqujuA8S9NznukUDP,想...,9.0,['Paula Tsui'],1978,0.121,0.149,-15.152999999999999,1.0,0.0386,0.601,0.067,79.01
267907,7dP0Pdy6acVoze13hCc8tt,"Les préludes, S. 97",8.0,"['Franz Liszt', 'London Philharmonic Orchestra', 'Sir Georg Solti']",1978-01-01,0.124,0.081,-19.160999999999998,1.0,0.0389,0.9470000000000001,0.038,76.923
267958,06BXXBbXeHnHGd4hkDVL8X,I'll Be Home For Christmas,29.0,['Carpenters'],1978-10-13,0.24600000000000002,0.155,-18.342,0.0,0.0323,0.922,0.0794,83.697
268089,5Nit7Sb7hNic5vN6kZGboz,Music for a while,31.0,"['Henry Purcell', 'Alfred Deller']",1979-10-20,0.215,0.0625,-22.031,1.0,0.0397,0.8190000000000001,0.11,78.306
268160,2UTqGjnYHPxkYY3jEKPXuz,"Waltz No.7 in C Sharp Minor, Op.64 No.2",27.0,"['Frédéric Chopin', 'Claudio Arrau']",1980-01-01,0.321,0.015,-31.511,0.0,0.0406,0.9940000000000001,0.0939,64.808
268174,6I7U0kPCX2XcamxVmrGtU2,Somewhere In Time - End Credits,30.0,['John Barry'],1980-01-01,0.138,0.11599999999999999,-16.92,1.0,0.0355,0.924,0.0554,79.271
268222,6eTG33M1Frhine4Jarpibj,Razor,27.0,['John Barry'],1980-01-01,0.18600000000000003,0.0646,-27.871,1.0,0.0477,0.912,0.0936,74.464
268438,1w8a105B8lJW0tLyZSt6T6,"Piano Sonata No.8 in A minor, K.310: 2. Andante cantabile con espressione",27.0,"['Wolfgang Amadeus Mozart', 'András Schiff']",1981-01-01,0.325,0.0312,-31.046999999999997,1.0,0.0434,0.991,0.113,72.265
268643,7Gb18jH8q6DyfuvRQjA8f9,When In Rome / It Amazes Me,12.0,['Bill Evans'],1982-01-01,0.29,0.0789,-23.987,1.0,0.0421,0.982,0.11800000000000001,67.186
268697,4prCrRl7TAlBPXvUkJns67,"Nocturne No.1 in E-Flat Minor, Op. 33, No. 1: Lento",28.0,"['Gabriel Fauré', 'Vlado Perlemuter']",1982,0.27899999999999997,0.0239,-27.482,1.0,0.0407,0.995,0.0903,70.007
