,id,name,popularity,artists,release_date,danceability,energy,loudness,mode,speechiness,acousticness,valence,tempo
533774,4Vo1tfQdbl9VP9gKo34dO0,Pocestný,10.0,['Hana Hegerova'],1991,0.36200000000000004,0.0776,-25.919,1.0,0.062,0.946,0.161,77.994
536840,70NFtYes7mH5gR21mzwucM,"Lincoln Portrait: Fellow Citizens, We Cannot Escape History - Excerpt",5.0,"['Aaron Copland', 'Henry Fonda', 'London Symphony Orchestra']",1960,0.265,0.0943,-20.816,0.0,0.047,0.89,0.0906,83.641
537275,0IWhkhn8gwxd7wNEixygIv,Ahdan El Habayeb,17.0,['Abdel Halim Hafez'],1969-01-01,0.35200000000000004,0.11900000000000001,-17.761,1.0,0.0421,0.9440000000000001,0.125,112.943
538202,21tex4DepSuw7tJSS71XHf,The Passport,22.0,['Marcel Khalifa'],1983-01-01,0.446,0.07200000000000001,-20.717,0.0,0.046,0.9670000000000001,0.245,94.506
538737,4vw4mmclwJBiJn1i8mjhY2,Sourat Ar-Rahman,26.0,['Cheïkh Abdelbasset Abdelsamad'],1992-11-09,0.39299999999999996,0.0335,-16.368,1.0,0.0442,0.8340000000000001,0.217,135.516
540829,77nqD4au3jZKN8UNuLmV4b,My Man's Gone Now - 2001 Remaster,6.0,['Julie London'],1958-12-01,0.301,0.11599999999999999,-19.965999999999998,1.0,0.0416,0.924,0.0754,114.01799999999999
540845,4nW7t6oxHllxmCToukKNLd,A Sudenyu,2.0,['Theodore Bikel'],1958-06-15,0.35100000000000003,0.0795,-16.070999999999998,0.0,0.0449,0.956,0.26899999999999996,148.70600000000002
540936,7K9ym7iEzHr6QLxvemdVcO,"Serenade in G Major, K. 525 ""Eine kleine Nachtmusik"": II. Romance. Andante",7.0,"['Wolfgang Amadeus Mozart', 'Leonard Bernstein', 'New York Philharmonic']",1960,0.273,0.043,-22.913,1.0,0.0409,0.873,0.17600000000000002,137.899
540959,3IjCQKDNpKjQzi9kgXwfVK,Petrushka (Remastered): Scene II - Petrushka's Room,0.0,"['Igor Stravinsky', 'Pierre Monteux']",1960,0.31,0.095,-20.453,1.0,0.0447,0.945,0.0869,140.517
540960,3jQZ2AiBE6qEUBQgUsBSVB,Everything Happens To Me,10.0,['Julie London'],1960-04-01,0.379,0.0667,-18.658,0.0,0.045,0.838,0.0748,80.64399999999999
540984,4xKQ2MqYNsiqhWdZ5nTpMZ,L.A. Breakdown,1.0,['Shirley Horn'],1961,0.556,0.0931,-15.85,1.0,0.0579,0.904,0.257,92.162
541070,1wMBaKnh6UxjcpAYIGE6b1,Where Can I Go?,3.0,['Miriam Makeba'],1963-11-26,0.424,0.0735,-15.033,0.0,0.0507,0.9670000000000001,0.0973,101.235
