,id,name,popularity,artists,release_date,danceability,energy,loudness,mode,speechiness,acousticness,valence,tempo
398295,0XEwMoAklVW0DU1xsfx9zz,All'arrembaggio!,45.0,['Giorgio Vanni'],2014-01-01,0.7020000000000001,0.9179999999999999,-3.3480000000000003,1.0,0.0388,0.0439,0.941,123.95299999999999
398326,2ipLr3jImjhC3bfLHzY5Fo,Jump - Radio Edit,44.0,"['Alien Cut', 'Renèe']",2014-08-06,0.772,0.904,-3.205,1.0,0.0569,0.0904,0.956,129.996
398450,52DWZhGa49WzpSSy62rHpa,L'Estate Addosso,55.0,['Jovanotti'],2015-02-24,0.706,0.914,-3.264,1.0,0.0355,0.0308,0.93,129.988
398633,7aTxlX5W265PGgWpEiHylM,Sexy Girl - Italian Version Radio Remastered 2015,42.0,"['Brothers', 'Ranieri']",2015-03-18,0.703,0.977,-4.886,1.0,0.0317,0.0017,0.9540000000000001,136.029
398749,3B7NxfpWANGqBq91suV8ss,Don't Be so Shy - Filatov & Karas Remix,48.0,['Imany'],2016-09-30,0.737,0.9540000000000001,-2.9360000000000004,0.0,0.05,0.034,0.904,119.979
400369,2JZZhmDNGRmhOIdKAm7iJX,Figlia di...,61.0,['Loredana Bertè'],2021-03-03,0.736,0.9329999999999999,-1.881,0.0,0.0377,0.109,0.9670000000000001,119.992
400401,7ul9NQPHDkCj4pEd8qCHuL,Lovumba,2.0,['Daddy Yankee'],2021-04-09,0.73,0.9390000000000001,-4.665,0.0,0.0532,0.0347,0.9390000000000001,121.001
402922,3FsSBhwwtAfjLiaZouQ2LM,Angkat Kaki,19.0,['Sheeda'],1996-10-02,0.7190000000000001,0.905,-3.5660000000000003,0.0,0.0298,0.125,0.9179999999999999,106.054
404232,25QdlVzZ0XowW5hWY26wp0,"Monay, Monay",20.0,"['Poetic Ammo', 'Reefa']",2004-01-01,0.912,0.915,-3.8289999999999997,1.0,0.20199999999999999,0.24,0.922,100.024
404562,1j2SFEkeV91HJCBAhpKU5f,Dokter Cinta,45.0,['Dewi - Dewi'],2007-05-25,0.848,0.903,-4.654,0.0,0.0549,0.124,0.9309999999999999,120.006
404776,5Om6Lu5T1gecUPlkpITg5d,新年万万岁,27.0,['MY ASTRO'],2008-12-12,0.701,0.9620000000000001,-2.217,0.0,0.039,0.0891,0.965,134.985
404801,3LmSi7QFblPIE43B0pnmti,A Night to Remember,35.0,['High School Musical Cast'],2008-10-20,0.8,0.905,-3.299,0.0,0.0487,0.0731,0.965,135.023
405319,0Me6SI6hgowLrZAKvtyVOg,The Boys,48.0,"[""Girls' Generation""]",2011-01-01,0.8759999999999999,0.937,-0.593,0.0,0.09300000000000001,0.162,0.902,114.98200000000001
405346,7eNZS973JNO67aP8mVGU6i,The Boys,47.0,"[""Girls' Generation""]",2011-01-01,0.885,0.941,-0.5870000000000001,0.0,0.07400000000000001,0.19,0.9229999999999999,114.98700000000001
405590,5hwwVIhxzHvEdQOIvmrmau,Miss Right,46.0,['TEEN TOP'],2013-02-25,0.7659999999999999,0.945,-2.7569999999999997,0.0,0.0318,0.228,0.966,120.024
406353,1nEPOXZXiub024uvDLsd33,Play For Me Kaweni Merry,56.0,"['DJ Haning', 'Piang Navian']",2019-11-25,0.831,0.95,-3.9,1.0,0.0424,0.149,0.961,131.965
408972,0hQvDDuMTmNSKLOzwOFLgn,說哈囉,19.0,"['Steve Chou', '吳貞慧', '袁美莉']",1986-08-08,0.865,0.909,-2.3080000000000003,1.0,0.233,0.542,0.973,135.09
412824,5gygshkdiSuXVcTSbr4o9p,說哈囉,19.0,"['Steve Chou', '吳貞慧', '袁美莉']",2001-08-08,0.865,0.909,-2.3080000000000003,1.0,0.233,0.542,0.973,135.09
413094,5nRzLbPT8JA2QXP5AiPhSg,愛錯,35.0,['李心潔'],2003-01-17,0.725,0.907,-4.498,1.0,0.0304,0.000967,0.9309999999999999,127.98899999999999
413337,6jCsXntFeqBRpckdvcODZz,招牌動作,34.0,['Jolin Tsai'],2004-10-29,0.831,0.97,-4.181,1.0,0.0697,0.008020000000000001,0.917,134.996
413767,1OGh0Nz1hfNXkZAfeGhwNV,彩虹的微笑 - 微笑pasta主題曲,33.0,['Cyndi Wang'],2006-07-01,0.76,0.9440000000000001,-1.785,1.0,0.0429,0.142,0.905,126.007
413850,3W0EIyPSNaeGnSlBHOW1rL,終極一班,22.0,['TANK 呂建忠'],2006-03-31,0.726,0.9159999999999999,-2.447,0.0,0.099,0.0164,0.9329999999999999,140.999
413981,5Zj8NlTtJTWSJSkt6WEYkK,任意門,30.0,['Rainie Yang'],2007-08-30,0.77,0.929,-3.0410000000000004,1.0,0.0742,0.28300000000000003,0.93,147.963
414677,4SoB4BLwnCdELaV0VPu5Iv,愛的主場秀,27.0,['Show Luo'],2010-01-15,0.932,0.905,-4.18,1.0,0.0889,0.121,0.9670000000000001,140.05200000000002
414717,2KQPh2bAebaFhYgzlKj0ad,不要不要,33.0,['卓文萱'],2011-11-04,0.838,0.9309999999999999,-4.684,1.0,0.0891,0.0525,0.9229999999999999,139.977
414937,1zhMsXZTnQquwIOpELqqgq,不吃早餐才是一件很嘻哈的事,32.0,"['MC HotDog', 'Soft Lipa']",2012-07-13,0.732,0.914,-3.9419999999999997,1.0,0.23,0.212,0.965,168.04
416570,7MW2tygILzSmsROWsUE3jQ,忘川彼岸 - DJ名龙版,52.0,['零一九零贰'],2020-07-15,0.7709999999999999,0.9990000000000001,-0.848,1.0,0.0521,0.171,0.9620000000000001,122.04
417735,5moCn39eVJF2dtvUC3XDqJ,Lamba Caribe,30.0,['Kaoma'],1989,0.71,0.953,-4.948,1.0,0.0479,0.013999999999999999,0.975,126.125
418410,1NRhW5ZkuvaGz0ZVMD3X7F,Intre noapte si zi,15.0,"['B.U.G. Mafia', 'Moni-k']",2000-10-17,0.775,0.9359999999999999,-4.851,1.0,0.139,0.253,0.907,100.03
418440,6Qv3vr31CYLmSa30S1wtME,3D,24.0,['Voltaj'],2001-07-28,0.792,0.9109999999999999,-4.551,0.0,0.0534,0.08800000000000001,0.968,129.957
418468,6PggWqQZ1M63bPvY0upzZZ,Ne-au topit caldurile,18.0,['Body & Soul'],2001-01-01,0.8170000000000001,0.907,-3.752,0.0,0.0489,0.0276,0.97,122.021
418571,2xRO2VtaIQgLDelFhaWmM8,Tu Ești Dragostea Mea,17.0,['Hi-Q'],2002-06-29,0.779,0.9359999999999999,-4.13,1.0,0.0397,0.00685,0.938,129.987
418699,3qUayF5qqW28cUbnpfT4SG,TV Makes the Superstar - Radio Edit,41.0,['Modern Talking'],2003-03-31,0.7070000000000001,0.963,-1.036,1.0,0.043,0.0564,0.945,100.99700000000001
