,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
173129,6fe2jjNkzFaQeDFG6PA0jC,It's Good But It Just Ain't Right,36,175133,0,['The Hellacopters'],['1lsXuaLnHnfL7GoJXKkUtH'],2002-01-01,0.161,0.983,1,-4.3919999999999995,0,0.11,9.08e-05,6.73e-05,0.369,0.31,171.19299999999998,4
173249,0sM45FCLIiCS3EnUq2kU2q,Rapture of Lust,36,234427,0,['For My Pain...'],['6s5biOReFi1Oe9GQOG0nsL'],2003-01-01,0.177,0.894,3,-4.908,0,0.0504,1.49e-05,0.0071400000000000005,0.27699999999999997,0.327,153.784,4
173256,7sRUmONaPHMzkMjfy8EZc4,The Sacrament,38,270067,0,['HIM'],['74aLweE8FHHf4yN5TWv1GM'],2003-04-14,0.531,0.948,4,-5.819,0,0.0654,0.028999999999999998,0.147,0.0762,0.22399999999999998,140.939,4
173325,3hmX5dfwY9oRIpJKvt755u,Second Heartbeat,53,420333,0,['Avenged Sevenfold'],['0nmQIMXWTXfhgOBdNzhGOs'],2003-08-26,0.294,0.986,0,-4.947,0,0.096,1.21e-05,0.5429999999999999,0.11800000000000001,0.316,184.987,4
173342,0CHWBSflmfxeGQ8gBVFjO7,Mirror of Madness,32,280427,0,['Norther'],['7FYqu76teK16FSlw4ZYFhW'],2003,0.33,0.9740000000000001,9,-5.011,0,0.0599,1.4e-06,0.429,0.309,0.377,160.014,4
173361,1zkGkQ3z8Hv7HMwINGg19B,Armageddon Death Squad,34,175293,0,['Impaled Nazarene'],['4Q7d9egO7iMngBWfgvm57d'],2003-11-03,0.22,0.9840000000000001,9,-4.698,0,0.113,1.07e-06,0.9329999999999999,0.0544,0.125,184.908,4
173409,2azy5rlyiFzM2HdeA4RFM3,Rakkautta ja piikkilankaa,44,237280,0,['Uniklubi'],['6CFUvBnAcbb5MvaDE8bwou'],2004-01-01,0.392,0.948,9,-3.5860000000000003,0,0.0535,0.00091,4.44e-06,0.6920000000000001,0.389,164.805,4
173455,7Chqf4yGnQlLWAWic9b0ET,Stand My Ground,55,267987,0,['Within Temptation'],['3hE8S8ohRErocpkY7uJW4a'],2004-11-12,0.271,0.866,5,-4.072,0,0.0578,0.0489,0.000762,0.11599999999999999,0.127,175.665,4
173488,0qTjb7p9gbojEemSJP71Yd,Fury Of The Storm,57,406840,0,['DragonForce'],['2pH3wEn4eYlMMIIQyKPbVR'],2004-01-01,0.22699999999999998,0.905,4,-5.104,0,0.0788,3.27e-05,0.19399999999999998,0.363,0.182,199.798,4
173493,1mD0LxzCdfathf6j7xMp7b,Player One,48,339780,0,['Machinae Supremacy'],['6cmp7ut7okJAgJOSaMAVf3'],2004-05-01,0.254,0.9209999999999999,6,-6.114,0,0.0799,0.00137,0.0,0.0702,0.235,175.047,4
