,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
71822,3HMnzW11ZTELitvvX13yLb,Egoist,57,207533,0,['Falco'],['0hLd40hVpRDGENe4KGZLnW'],1998-02-27,0.762,0.986,0,-5.517,1,0.373,0.45,0.000867,0.36700000000000005,0.96,164.298,4
72331,4hpEs4S57UaWS4IF2sm5yJ,Позови меня с собой,50,259520,0,['Alla Pugacheva'],['7lyhSLlB5fWJmU5eB6k84L'],1998-01-01,0.77,0.71,2,-9.179,1,0.17600000000000002,0.552,0.0,0.293,0.851,167.982,4
72463,11mwFrKvLXCbcVGNxffGyP,Genie In a Bottle,73,217573,0,['Christina Aguilera'],['1l7ZsJRRS8wlW3WfJfPfNS'],1999,0.627,0.8,1,-6.945,1,0.162,0.21,0.000123,0.13699999999999998,0.912,175.815,4
72479,0Ed7MeXx64f6OcIuoTRCg1,Xxplosive,71,215200,1,"['Dr. Dre', 'Hittman', 'Six-Two', 'Nate Dogg', 'Kurupt']","['6DPYiyq5kWVQS4RGwxzPC7', '3np2OYRZAgI4e6lxeGmGr8', '4xko5t5site4jVwopoCF21', '1Oa0bMld0A3u5OTYfMzp5h', '6NyJIFHAePjHR1pFxwisqz']",1999-11-16,0.765,0.88,1,-4.361000000000001,1,0.11599999999999999,0.17600000000000002,1e-05,0.139,0.929,168.96,4
73050,67RNKBsqRiyMOtor2RxfWR,Agüita De Melón,53,185307,0,['Fito Olivares y Su Grupo'],['3zzeZVLuOeetfimOd4k8rE'],1999,0.7070000000000001,0.787,4,-12.579,1,0.196,0.183,0.0,0.136,0.956,180.857,4
73417,6ijxg6Xglae8LfsR8eP5x2,Xxplosive,49,215200,1,"['Dr. Dre', 'Hittman', 'Six-Two', 'Nate Dogg', 'Kurupt']","['6DPYiyq5kWVQS4RGwxzPC7', '3np2OYRZAgI4e6lxeGmGr8', '4xko5t5site4jVwopoCF21', '1Oa0bMld0A3u5OTYfMzp5h', '6NyJIFHAePjHR1pFxwisqz']",1999-11-16,0.7659999999999999,0.889,1,-4.35,1,0.102,0.184,1.25e-05,0.14400000000000002,0.9329999999999999,169.084,4
73482,7FDV5ELOJHCGLe52AnttEd,Angel,73,235133,0,"['Shaggy', 'Rayvon']","['5EvFsr3kj42KNv97ZEnqij', '4hB4SmzreXMTGWYj7KQ7QN']",2000-08-08,0.74,0.7659999999999999,6,-2.9389999999999996,1,0.17800000000000002,0.11599999999999999,0.0,0.0406,0.807,170.53099999999998,4
74444,6GG73Jik4jUlQCkKg9JuGO,The Middle,80,165853,0,['Jimmy Eat World'],['3Ayl7mCk0nScecqOzvNp6s'],2001-07-17,0.643,0.8490000000000001,2,-5.428,1,0.0526,0.0371,0.0,0.057999999999999996,0.903,162.15200000000002,4
74801,6sr4ax5EHAsAxC4jjEaZJ0,Me llamo Raquel,64,167987,0,['Banda Machos'],['7MyUjj79oHy7I8RocrtzZ2'],2001-05-28,0.618,0.7440000000000001,0,-5.426,1,0.0583,0.166,0.0,0.23399999999999999,0.958,177.50599999999997,4
75045,6gpZSI0xEMTzleBc5ykOVA,Heart Of The City (Ain't No Love),60,223240,1,['JAY-Z'],['3nFkdlSjzX9mRTtwJOzDYB'],2001-09-11,0.606,0.943,6,-3.948,1,0.276,0.08800000000000001,0.0039,0.342,0.802,171.02700000000002,4
75586,6UEfyhyfhYQsyipxOd95Ie,The Ketchup Song (Aserejé) - Spanglish Version,67,213973,0,['Las Ketchup'],['1e8GEl48ktvfDpruMKB6Oe'],2002,0.607,0.9229999999999999,1,-6.777,1,0.0948,0.0193,1.1e-06,0.0924,0.868,184.81900000000002,4
75850,312A8WfROSLvZbMDHBUPDp,Fit but You Know It,61,253467,1,['The Streets'],['4GvOygVQquMaPm8oAc0vXi'],2002-03-18,0.7020000000000001,0.848,6,-1.714,1,0.3,0.22,0.0,0.0222,0.883,172.125,4
75966,5qjSPrKTBqYpgVJSTcgKTd,Hechizo De Luna,60,294027,0,"['Edgar Joel', 'Anthony Colon']","['2Q6zKMFyq67L6fBml9cn4A', '0tc7v6aUc2MuA3qdjwVQir']",2002-12-10,0.6829999999999999,0.722,8,-7.577999999999999,1,0.0354,0.389,0.0,0.10400000000000001,0.905,160.892,4
76387,7aSwDCjueXPEIf3OeZiRFR,Ragatanga (Asereje) - Versão Editada,56,211461,0,['Rouge'],['7oCPozHYsiILeiQlma8EEj'],2002-08-19,0.625,0.955,6,-5.067,1,0.0545,0.0112,0.006540000000000001,0.0681,0.968,184.12400000000002,4
76793,2xVueNhj6UehdAPDBWK7DN,"Quizás Si, Quizás No",62,192427,0,['Grupo Bryndis'],['44WCHvwXBOMz6nm7Mu2ReO'],2003-01-01,0.634,0.738,5,-7.785,1,0.0608,0.47700000000000004,1.12e-06,0.0935,0.8590000000000001,167.718,4
77098,1PSD7RIsoOGQPgzmV7B2f6,Si Volveras a Mí,58,290613,0,['Maelo Ruiz'],['3HyrDGPLI0c9Rd8luuO0zw'],2003-10-27,0.636,0.809,7,-5.278,1,0.0368,0.406,0.0,0.23,0.81,169.15599999999998,4
77814,3GCpEbJzknVdpvx9WI03x3,Mysterious Girl - Radio Edit,62,217107,0,['Peter Andre'],['4zVfvSWs6FvSD6B5lQGs2S'],2004-06-07,0.655,0.8220000000000001,8,-5.755,1,0.21100000000000002,0.14,0.0,0.298,0.8590000000000001,171.983,4
79661,5sgvzXoYFCr5F5tUZdAA20,Ser O Parecer,66,211467,0,"['RBD', 'Anahí', 'Dulce María', 'Maite Perroni', 'Christian Chávez', 'Christopher von Uckermann', 'Alfonso Herrera']","['7cjh6y0V9SsyCrWSXTzwOs', '0TeVa4xdLB8vdzjsvKH6Ri', '6kaefrHSdAvxhhCVDFTCEL', '6ModsWtBph2rE6zCTVxvZt', '0aMqt2uGLuHj4eI8oXgVzN', '5O8cudluftNZ6PCwRzvYxo', '0veZkZPeWoJQ9gt6VAXlkN']",2006-01-01,0.605,0.88,1,-3.747,1,0.14,0.263,0.0,0.2,0.9079999999999999,176.028,4
79761,2shZC1aewiGkuHbpWBZ5lS,Reencuentro,64,226360,0,['Banda Pequeños Musical'],['46WT0eTBzCslHoVsLahvfE'],2006,0.6920000000000001,0.747,5,-7.237,1,0.0358,0.369,0.000251,0.0667,0.8590000000000001,160.082,4
80443,37nXsqE1XW0cxOQvIMsmFc,Conteo Regresivo - Salsa Version,69,266787,0,['Gilberto Santa Rosa'],['27vNK840zYq6IfDijHPsv1'],2007-11-20,0.777,0.72,8,-6.162000000000001,1,0.0803,0.778,0.0,0.069,0.96,163.905,4
80584,1Y4ZdPOOgCUhBcKZOrUFiS,Lip Gloss,65,219773,0,['Lil Mama'],['5qK5bOC6wLtuLhG5KvU17c'],2007-03-06,0.619,0.87,2,-4.956,1,0.501,0.41,1.37e-06,0.0571,0.94,188.77200000000002,4
80744,4Ol6lxivp7pR7voovl8vKI,Perfecta - Versión con Julieta Venegas,63,225053,1,"['Miranda!', 'Julieta Venegas']","['2eEmsgWmUFMbtU7agJpnjY', '2QWIScpFDNxmS6ZEMIUvgm']",2007-10-18,0.636,0.743,0,-5.337999999999999,1,0.0491,0.159,0.0,0.292,0.815,169.892,4
80831,4bWdlExSeKAotB6uJwxFlf,Se Parece Más A Ti,61,248787,0,['Jambao'],['37zUz0gjTaNCWTOymnuWGG'],2007-01-01,0.6859999999999999,0.7759999999999999,1,-3.6010000000000004,1,0.0837,0.16,1.0199999999999999e-05,0.133,0.94,179.915,4
80903,3G0C3Z9H9CLejvrkWbGBb7,Pa' Madrid,61,260185,0,['El Barrio'],['0fM3rWsshliRFUmJlBP6QZ'],2007-10-15,0.632,0.9440000000000001,1,-3.065,1,0.0476,0.239,0.0,0.125,0.934,166.925,4
80982,5A2fkyeIbRqwXGkIdadL5q,Un Poco Loca (feat. De La Ghetto),60,273160,0,"['Jowell & Randy', 'De La Ghetto']","['4IMAo2UQchVFyPH24PAjUs', '3EiLUeyEcA6fbRPSHkG5kb']",2007-12-18,0.8059999999999999,0.738,2,-4.75,1,0.162,0.221,0.0011,0.156,0.8079999999999999,176.09799999999998,4
